SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,33.4,33.4,31.75,31.85,31.85,33.7,57536,1848750.2,26-DEC-2016,364,INE144J01027,
3IINFOTECH,EQ,5.4,5.8,5.3,5.35,5.35,5.45,1117376,6052509.7,26-DEC-2016,584,INE748C01020,
3MINDIA,EQ,10460,10460,10150.15,10162.1,10150.15,10301.45,400,4096098.3,26-DEC-2016,170,INE470A01017,
8KMILES,EQ,656.05,658.55,630,632.35,632,656.05,25468,16248122.8,26-DEC-2016,2372,INE650K01021,
A2ZINFRA,EQ,40.8,40.8,38.15,38.8,38.35,40.85,543242,21561510.2,26-DEC-2016,3733,INE619I01012,
AARTIDRUGS,EQ,603.15,603.15,573,576.8,576.15,603.15,24339,14125325.35,26-DEC-2016,1400,INE767A01016,
AARTIIND,EQ,703.95,703.95,675,684,676,701.4,18102,12492497.2,26-DEC-2016,2154,INE769A01020,
AARVEEDEN,EQ,79.05,80.8,76,76.5,76,79.5,18043,1411564.45,26-DEC-2016,406,INE273D01019,
ABAN,EQ,223.25,225.45,218,219.4,218.5,224.15,956241,211508475.95,26-DEC-2016,13062,INE421A01028,
ABB,EQ,1028,1039,1017.55,1031.85,1034.75,1026.4,19076,19637582.3,26-DEC-2016,1079,INE117A01022,
ABBOTINDIA,EQ,4672.55,4672.55,4525,4557.45,4526.7,4655.45,736,3379444.55,26-DEC-2016,211,INE358A01014,
ABFRL,EQ,131,131.85,129.5,130.1,130,131.9,615866,80621106.45,26-DEC-2016,1467,INE647O01011,
ABGSHIP,EQ,29.65,30.3,28.5,28.8,29.1,30.15,229309,6671923.6,26-DEC-2016,1684,INE067H01016,
ABIRLANUVO,EQ,1199.5,1199.5,1175,1178.9,1177,1198.4,159814,189224973.25,26-DEC-2016,7132,INE069A01017,
ACC,EQ,1293.65,1295,1278.4,1284.1,1291.5,1296.3,128460,165416497.55,26-DEC-2016,9521,INE012A01025,
ACCELYA,EQ,1420,1445,1385.15,1439.65,1445,1424,435,621945,26-DEC-2016,59,INE793A01012,
ACE,EQ,44.85,45,43.5,43.9,43.6,45.05,209426,9282123.6,26-DEC-2016,1062,INE731H01025,
ACROPETAL,BZ,1.25,1.25,1.25,1.25,1.25,1.3,100,125,26-DEC-2016,1,INE055L01013,
ADANIENT,EQ,70.7,71.35,69.05,69.7,69.3,71.35,946524,66148577.25,26-DEC-2016,4261,INE423A01024,
ADANIPORTS,EQ,262,262,257.25,260,260.5,262.9,2684615,695996145.85,26-DEC-2016,27359,INE742F01042,
ADANIPOWER,EQ,29.15,29.2,27.75,27.9,27.9,29.15,5153924,146218256.85,26-DEC-2016,7057,INE814H01011,
ADANITRANS,EQ,53.9,53.9,51.3,51.7,51.9,53.5,516454,26984145.95,26-DEC-2016,3510,INE931S01010,
ADFFOODS,EQ,140.05,140.05,133.4,135.05,134.25,137.55,48435,6543377.5,26-DEC-2016,703,INE982B01019,
ADHUNIK,EQ,6.9,7.1,6.9,6.95,6.95,7.15,22658,157790.5,26-DEC-2016,36,INE400H01019,
ADHUNIKIND,EQ,101.15,107.9,101.15,105.3,107.7,105.55,37049,3927346.85,26-DEC-2016,129,INE452L01012,
ADI,EQ,481.65,493.8,471,475.7,472,490.7,2540,1220766.35,26-DEC-2016,236,INE959A01019,
ADLABS,EQ,74.5,74.5,70.5,71.35,70.9,74,127186,9139299.7,26-DEC-2016,1477,INE172N01012,
ADORWELD,EQ,290,292.05,278.85,281.85,281.95,290.3,2198,623735.9,26-DEC-2016,113,INE045A01017,
ADSL,BE,36.4,36.4,34.65,34.65,34.65,36.45,59710,2082526.05,26-DEC-2016,285,INE102I01027,
ADVANIHOTR,EQ,49.4,49.4,49.4,49.4,49.4,49.55,250,12350,26-DEC-2016,2,INE199C01026,
ADVENZYMES,EQ,1909.8,1909.8,1831,1835,1836.95,1914.4,83338,155525450.6,26-DEC-2016,7007,INE837H01012,
AEGISCHEM,EQ,134.85,134.85,128.85,130.25,129.65,134.35,163047,21330648.75,26-DEC-2016,3431,INE208C01025,
AFL,EQ,53.65,55,52.25,53.4,52.5,55.45,6774,363365.4,26-DEC-2016,89,INE020G01017,
AGARIND,EQ,335.05,339.5,324.05,329.35,329,340,11571,3849573.7,26-DEC-2016,298,INE204E01012,
AGCNET,EQ,86.6,89.85,86.6,88.7,88.05,90.45,10865,957626.4,26-DEC-2016,98,INE676A01019,
AGRITECH,EQ,32.35,32.85,30.85,31.2,32.8,31.8,1432,45944.05,26-DEC-2016,32,INE449G01018,
AGROPHOS,SM,20.1,20.1,19.5,19.5,19.5,20.4,18000,355200,26-DEC-2016,3,INE740V01019,
AHLEAST,EQ,195.2,200,190,196,196,199.2,1227,243719.8,26-DEC-2016,20,INE926K01017,
AHLUCONT,EQ,257.25,260,246.2,258.05,256.2,250,12964,3231089.45,26-DEC-2016,481,INE758C01029,
AHLWEST,EQ,207.55,210.05,207.55,210,210,210,484,101628,26-DEC-2016,17,INE915K01010,
AIAENG,EQ,1265,1268.85,1254,1263.55,1265.95,1275.2,6382,8054004.25,26-DEC-2016,1112,INE212H01026,
AICHAMP,BE,26.05,26.05,26.05,26.05,26.05,27.4,1,26.05,26-DEC-2016,1,INE768E01024,
AIFL,EQ,427.35,427.35,403.6,408.05,406,428.05,128237,52962327.8,26-DEC-2016,1192,INE428O01016,
AJANTPHARM,EQ,1750,1750,1677.35,1688.45,1683,1753.75,101311,172015864.95,26-DEC-2016,9726,INE031B01049,
AJMERA,EQ,137.1,139.9,127.3,132.2,132.5,139.15,51889,6897136.55,26-DEC-2016,1073,INE298G01027,
