Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ACC,10,1591,1543.65,15436.5,-473.5,-2.98,-1.5
ALANKIT,185,26.76,26.8,4958,8.25,0.17,-2.19
ASHOKLEY,140,87.31,79.35,11109,-1115,-9.12,-2.58
ASIANPAINT,29,1377.92,1369.1,39703.9,-255.7,-0.64,-1.14
AVANTIFEED,51,394.16,313.85,16006.35,-4095.6,-20.37,-4.95
AXISBANK,28,697.23,729.25,20419,896.45,4.59,-1.51
BAJAJ-AUTO,6,2635.75,2558.25,15349.5,-465,-2.94,-2.76
BHARTIARTL,50,319.65,339.95,16997.5,1014.75,6.35,-0.74
BHEL,20,62.85,63.7,1274,17,1.35,-0.47
BIOCON,130,307.4,240.3,31239,-8723.3,-21.83,-8.65
CANFINHOME,24,261.97,388.15,9315.6,3028.3,48.17,-0.54
DBL,10,668.5,407.1,4071,-2613.95,-39.1,-1.23
DELTACORP,65,227.74,156.45,10169.25,-4634,-31.3,-1.79
DRREDDY,1,2505,2613.15,2613.15,108.15,4.32,-1.6
HCLTECH,19,1053.73,1015.6,19296.4,-724.45,-3.62,-0.29
HDFCBANK,8,2036.7,2375.65,19005.2,2711.6,16.64,-1.5
HDFCLIFE,10,441.2,487.6,4876,464,10.52,-3.17
HEROMOTOCO,3,2608.87,2387.4,7162.2,-664.4,-8.49,-3.71
HINDUNILVR,7,1733.45,1720.4,12042.8,-91.35,-0.75,-1.08
IBULHSGFIN,7,694.36,634.95,4444.65,-415.85,-8.56,-3.66
ICICIBANK,80,376.45,410.3,32824,2708.15,8.99,-1.99
ICICIPRULI,20,320.93,379.6,7592,1173.5,18.28,-1.07
INDIGO,1,1325.7,1462.95,1462.95,137.25,10.35,0.28
INDUSINDBK,6,1564.34,1422.15,8532.9,-853.15,-9.09,-3.35
INFY,10,713.2,785.4,7854,722,10.12,-0.92
KAJARIACER,50,430.32,529.05,26452.5,4936.6,22.94,-1.47
KARURVYSYA,65,73.41,67.1,4361.5,-410,-8.59,-0.45
KTKBANK,20,113.9,96.3,1926,-352,-15.45,-0.41
LT,22,1336.53,1411.55,31054.1,1650.35,5.61,-1.65
LTI,11,1729.38,1516,16676,-2347.15,-12.34,-3.82
M&M,47,711.95,571.3,26851.1,-6610.55,-19.76,-4.37
MINDAIND,88,260.11,287.4,25291.2,2401.3,10.49,-3.52
MINDTREE,5,780,667.6,3338,-562,-14.41,-3.34
MOTHERSUMI,181,138.1,110.5,20000.5,-4995.55,-19.99,-5.15
MUTHOOTFIN,61,468.48,606.1,36972.1,8394.75,29.38,-3.17
NBCC,440,60.11,51.2,22528,-3921.95,-14.83,-1.73
NESTLEIND,2,9601.53,11547.05,23094.1,3891.05,20.26,-0.43
REPCOHOME,5,331.3,353.35,1766.75,110.25,6.66,-1.45
SBIN,15,344.3,356,5340,175.5,3.4,-2.1
STRTECH,30,186.3,165.6,4968,-621,-11.11,1.22
SUNPHARMA,15,403.58,421.35,6320.25,266.5,4.4,-1.14
TATAGLOBAL,127,229.58,248.85,31603.95,2446.9,8.39,-2.45
TATAMOTORS,25,154.99,154.85,3871.25,-3.5,-0.09,-3.67
TCS,17,1989.29,2076.95,35308.15,1490.15,4.41,0.53
TITAN,28,952.46,1091.05,30549.4,3880.4,14.55,1.02
UBL,17,1305.43,1372.6,23334.2,1141.95,5.15,-1.86
UPL,37,458.27,643.45,23807.65,6851.65,40.41,-1.73
VBL,23,774.63,919.8,21155.4,3338.95,18.74,-2.49
VENKEYS,5,2303.89,1430.7,7153.5,-4365.95,-37.9,-4.41
WIPRO,2,268,264.7,529.4,-6.6,-1.23,-1.64
ZEEL,10,378,352.95,3529.5,-250.5,-6.63,-1.99
