symbol,pe,pbv,div,d2e,roce
3MINDIA,76.36,13.26,0,0.01,29.16
ABB,57.16,7.48,0.34,0,17.02
ACC,16.8,2.64,0.91,0,15.86
AIAENG,45.18,5.21,0.51,0.04,17.45
APLAPOLLO,28.78,3.61,0.91,0.59,15.57
AUBANK,50.37,6.55,0.11,9.52,8.97
AAVAS,66.3,6.35,0,1.99,10.86
ADANIGREEN,,,,,
ADANIPORTS,31.05,4.08,0.05,1.21,13.41
ADANIPOWER,,,,,
ADANITRANS,587.77,13.22,0,4.09,8.38
ABCAPITAL,926.46,2.63,0,0,1.34
ABFRL,49.57,11.14,0,0.84,8.82
ADVENZYMES,50.45,5.57,0.38,0.06,14.87
AEGISCHEM,77.75,8.5,0.68,0.26,14.36
AJANTPHARM,20.78,3.8,0.97,0,25.22
AKZOINDIA,40.61,6.93,1.39,0,24.15
APLLTD,16.11,3.62,1.06,0.39,23.58
ALKEM,26.88,3.93,0.72,0.09,19.47
ALBK,,,,,
ALLCARGO,12.31,1.82,3.51,0.35,13.92
AMARAJABAT,21.63,3.13,1.16,0.02,23
AMBUJACEM,23.98,2.02,0,0,8.37
ANDHRABANK,,,,,
APOLLOHOSP,63.11,4.92,0.36,0.79,8.84
APOLLOTYRE,13.54,1.31,1.86,0.36,11.36
ASHOKLEY,11.71,2.8,3.91,0.08,29.53
ASHOKA,11.1,1.55,0.44,0.33,16.83
ASIANPAINT,61.79,14.78,0.77,0,38.21
ASTERDM,136.86,2.45,0,0.05,2.15
ASTRAZEN,86.91,15.72,0,0,26.51
ASTRAL,107.41,14.16,0.05,0.18,21.17
ATUL,25.5,4.11,0.41,0,26.94
AUROPHARMA,21.16,2.85,0.45,0.4,19.02
AVANTIFEED,20.46,4.03,1.27,0,31.56
DMART,85.7,15.64,0,0.08,23.77
AXISBANK,40.74,2.87,0,10.52,5.62
BASF,,,,,
BEML,59.82,1.74,0.88,0.18,8.29
BSE,15,1.13,6.49,0,11.47
BAJAJ-AUTO,16.81,3.4,2.35,0.01,30.72
